Alpha,MSE,R2
0.0,95.9709400911068,0.627553179231485
0.001,95.97092729869219,0.6275532288766604
0.01,95.9708128357968,0.6275536730876001
0.1,95.96973398217682,0.6275578599341649
1.0,95.96510725968653,0.6275758154536216
10.0,96.27253466712581,0.6263827422128139
100.0,101.80910547909961,0.6048962568775463
1000.0,148.04240389287455,0.4254727252177982
