eps,min_samples,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,rank
1.583813476349279,5,3,-0.17937177579879884,4.729013335046936,1.3872935145115728,1
1.6838134763492791,6,3,-0.16796543321536864,5.431544331828212,1.3924050946912365,2
1.7838134763492792,6,5,-0.13772125144357342,6.670940475599021,1.4275949238651267,3
1.7838134763492792,7,2,-0.15070533931627683,6.931401591810547,1.4307591346708415,4
2.38381347634928,18,2,0.12247569413602527,34.29677855219769,1.5682444722889313,5
2.18381347634928,14,2,0.07300180016826092,27.309261936716027,1.6012051851091886,6
2.18381347634928,13,2,0.07466771018628239,27.239378025371412,1.6313351980362878,7
1.6838134763492791,5,6,-0.2561376157253137,4.116556882002362,1.676339325101253,8
1.8838134763492793,7,2,-0.0478219591499286,14.202274166330604,1.699294586107784,9
1.8838134763492793,8,2,-0.11739015881260031,8.913232405593474,1.8231348281772153,10
1.8838134763492793,6,3,-0.08168520131425898,13.857076258557866,1.830265297450504,11
2.0838134763492793,14,2,0.009163276851447223,16.766485770277974,1.8534715443162062,12
2.0838134763492793,13,2,0.009163276851447223,16.766485770277974,1.8534715443162062,13
1.7838134763492792,5,7,-0.18141024353558002,6.6055796224076975,1.874794823667132,14
1.8838134763492793,5,6,-0.08026139396358548,9.428589679589384,1.9191311611613788,15
1.9838134763492794,8,3,-0.062497816633526874,16.369619484626604,1.9700903748477345,16
2.0838134763492793,11,2,0.039885083563501254,22.361030458299318,2.012208020052991,17
1.9838134763492794,7,3,-0.03829445838932646,17.403498485590276,2.0238605004534125,18
2.0838134763492793,12,2,0.023853208107362227,19.396838179071366,2.0410763476275644,19
2.18381347634928,12,3,0.006273882806266396,21.131661689341325,2.100718760275476,20
1.9838134763492794,5,5,-0.03290613998220972,9.755649254989605,2.105327219859548,21
1.9838134763492794,6,3,-0.050778606609269625,13.000236496224876,2.1285061854273173,22
2.0838134763492793,10,2,0.0576775051723727,23.882323416917313,2.153405593981693,23
2.0838134763492793,9,2,0.0576775051723727,23.882323416917313,2.153405593981693,24
2.38381347634928,15,3,0.08898151874840854,28.4743000980527,2.169584557535093,25
2.38381347634928,16,3,0.08898151874840854,28.4743000980527,2.169584557535093,26
2.0838134763492793,8,2,0.007062360118489283,16.575100335539318,2.1724895006419143,27
2.2838134763492794,15,3,0.03630579842618561,22.96337603092375,2.1729478205223476,28
2.2838134763492794,16,3,0.030094078408838053,21.82748709778187,2.1771153913768972,29
2.38381347634928,17,3,0.056574603784621674,25.47458026294216,2.1783738939008077,30
2.38381347634928,14,3,0.09139032070223607,28.533169531600112,2.196062375607734,31
2.2838134763492794,14,3,0.042555850785679444,23.137708966021286,2.1990717895806684,32
2.18381347634928,11,3,0.030942909808832752,22.138632589863683,2.2437832751633775,33
2.2838134763492794,13,3,0.07308635789328946,26.25524932185722,2.2523409070393607,34
2.18381347634928,10,2,0.059364603836527745,21.14588072287638,2.273814488651723,35
2.4838134763492796,19,2,0.10472561290025494,26.83261468178323,2.3309190898438676,36
2.18381347634928,9,3,0.011881149967474197,17.031044216118037,2.3409095900923007,37
2.38381347634928,13,2,0.09544660903775055,23.745589269768537,2.432930113242341,38
2.2838134763492794,11,3,0.10622734553800696,28.2711916437311,2.4335128980292415,39
2.2838134763492794,12,3,0.10622734553800696,28.2711916437311,2.4335128980292415,40
2.18381347634928,8,3,0.02653840795896567,17.825192533286494,2.448750324898495,41
2.0838134763492793,5,4,0.02354545929938154,11.843057042611465,2.465459012494244,42
2.4838134763492796,18,2,0.10740722266764921,25.62990135109901,2.4703865569632897,43
2.4838134763492796,16,2,0.10983153714642216,25.359656889492985,2.5096316318538943,44
2.4838134763492796,17,2,0.10983153714642216,25.359656889492985,2.5096316318538943,45
2.0838134763492793,7,2,0.03759758177352052,17.206744381223128,2.5769245094587285,46
2.0838134763492793,6,2,0.05523915582866934,18.405929736900912,2.5771388642142905,47
2.38381347634928,12,2,0.13120587546987664,27.078122186051072,2.6529726568660794,48
2.2838134763492794,10,2,0.0992233719589657,23.128534067618524,2.746853517615122,49
2.58381347634928,15,2,0.18572841393201764,30.742108137842912,2.7723746758137415,50
2.58381347634928,16,2,0.18572841393201764,30.742108137842912,2.7723746758137415,51
2.58381347634928,19,2,0.1408747606403538,27.43181711664078,2.807535612695732,52
2.58381347634928,18,2,0.1408747606403538,27.43181711664078,2.807535612695732,53
2.58381347634928,14,2,0.18636196118605414,30.389607142983397,2.816749421693899,54
2.68381347634928,19,2,0.1976418479506516,31.987539587999294,2.8216316017303082,55
2.4838134763492796,14,2,0.150132639776364,26.241735608633885,2.833945188211254,56
2.4838134763492796,15,2,0.14699837755897935,26.130530055559447,2.8480981438131336,57
2.2838134763492794,9,2,0.120243189104746,24.580213030991292,2.8542181720454667,58
2.4838134763492796,13,2,0.17204794201795998,28.807973382180887,2.8627451939687294,59
2.68381347634928,17,2,0.2078110003087737,32.38334802784484,2.9032015428695104,60
2.38381347634928,11,2,0.1311049308052097,25.126063901980192,2.9058419562904505,61
2.58381347634928,17,2,0.16231433539485204,26.881201174988973,2.958561947848148,62
2.68381347634928,16,2,0.21066629816774485,33.31274116393881,2.9604039769545203,63
2.38381347634928,10,2,0.1438945866629955,25.47808763687553,2.997082375106053,64
2.68381347634928,13,2,0.21542565763112573,34.69461075696127,3.0046455978720292,65
2.68381347634928,15,2,0.21633202954998498,34.87241421578204,3.0107695813327537,66
2.7838134763492803,16,2,0.2321772495950268,35.10821125063729,3.03162292827745,67
2.7838134763492803,19,2,0.22438275170014793,35.06640609838235,3.033057148203809,68
2.68381347634928,14,2,0.21166328046329166,33.993683711191274,3.042949775643809,69
2.68381347634928,11,2,0.21698441709310873,34.97545199273175,3.0568228482522737,70
2.68381347634928,12,2,0.21698441709310873,34.97545199273175,3.0568228482522737,71
2.7838134763492803,15,2,0.22763810928126194,34.23191541307839,3.0577549541630504,72
2.18381347634928,7,2,0.1150860850361366,23.0224692238055,3.0607645735917353,73
2.7838134763492803,18,2,0.230548041583884,34.83556117458908,3.066275123630833,74
2.7838134763492803,17,2,0.230548041583884,34.83556117458908,3.066275123630833,75
2.4838134763492796,12,2,0.18154472196406035,29.081279293578774,3.0700042063515447,76
2.68381347634928,18,2,0.20021450581912859,30.006951285594212,3.098535413471321,77
2.7838134763492803,13,2,0.2293698795539214,34.413683527139476,3.144063486918384,78
